a,unrounded,back,open
â,unrounded,back,open
á,unrounded,back,open
ä,unrounded,back,open
æ,unrounded,back,near-open
i,unrounded,front,close
î,unrounded,front,close
и,unrounded,front,close
í,unrounded,front,close
u,rounded,back,close
ú,rounded,back,close
ü,rounded,back,close
û,rounded,back,close
y,rounded,back,close
o,rounded,back,open-mid
ö,rounded,back,open-mid
œ,rounded,central,open-mid
ó,rounded,back,open-mid
ô,rounded,back,open-mid
e,unrounded,front,open-mid
é,unrounded,front,open-mid
ê,unrounded,front,open-mid
ę,unrounded,front,open-mid